COD.FABBRICATO	DESCRIZIONE IMMOBILE	COD.UNITA’ IMMOBILIARE	PIANO	NUM.STANZA	CENTRO DI COSTO 	
59   	CFCS                                              	59FA1	PRIMO PIANO	FA1C20	112020101	
59   	CFCS                                              	59FA2	PRIMO PIANO	FA2C14	112020101	
59   	CFCS                                              	59FA3	SECONDO PIANO	FA3C19	112020101	
59   	CFCS                                              	59FA3	SECONDO PIANO	FA3C22	112020101	
59   	CFCS                                              	59FB1	PIANO TERRA	FB1C25	112020101	
59   	CFCS                                              	59FB1	PIANO TERRA	FB1C30	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C22	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C28	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C36	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C41	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C45	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C47	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C35	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C37	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C47	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C50	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C53	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C54	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C24	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C30	112020101	
59   	CFCS                                              	54FB4	SECONDO PIANO	FB4C31	112020101	
59   	CFCS                                              	59EA2	SECONDO PIANO	EA2C15	112020101	
59   	CFCS                                              	59EB0	PIANO TERRA	EB0C27	112020101	
59   	CFCS                                              	59EB1	PRIMO PIANO	EB1C36	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C21	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C38	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C41	112020101	
59   	CFCS                                              	59EB2	SECONDO PIANO	EB2C42	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C21	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C34	112020101	
59   	CFCS                                              	59EB3	TERZO PIANO	EB3C43	112020101	
59   	CFCS                                              	59EC2	PIANO TERRA	EC2C55	112020101	
59   	CFCS                                              	59EC3	PRIMO PIANO	EC3C60	112020101	
59   	CFCS                                              	59EC3	PRIMO PIANO	EC3C62	112020101	
59   	CFCS                                              	59EC4	SECONDO PIANO	EC4C55	112020101	
59   	CFCS                                              	59EC4	SECONDO PIANO	EC4C65	112020101	
59   	CFCS                                              	59EC4	SECONDO PIANO	EC4C68	112020101	
59   	CFCS                                              	59EC4	SECONDO PIANO	EC4C72	112020101	
59   	CFCS                                              	59EC4	SECONDO PIANO	EC4C74	112020101	
59   	CFCS                                              	59FA0	PIANO TERRA	FA0C10	112020101	
59   	CFCS                                              	59FA1	PRIMO PIANO	FA1C16	112020101	
59   	CFCS                                              	59FA2	PRIMO PIANO	FA2C07	112020101	
59   	CFCS                                              	59FA2	PRIMO PIANO	FA2C18	112020101	
59   	CFCS                                              	59FA3	SECONDO PIANO	FA3C18	112020101	
59   	CFCS                                              	59FB1	PIANO TERRA	FB1C22	112020101	
59   	CFCS                                              	59FB1	PIANO TERRA	FB1C24	112020101	
